modello,layer,norma_L2
codellama/CodeLlama-7b-Instruct-hf,15,2.1953125
codellama/CodeLlama-7b-Instruct-hf,16,2.34765625
codellama/CodeLlama-7b-Instruct-hf,17,2.42578125
codellama/CodeLlama-7b-Instruct-hf,18,2.626953125
codellama/CodeLlama-7b-Instruct-hf,19,2.927734375
codellama/CodeLlama-7b-Instruct-hf,20,3.21875
codellama/CodeLlama-7b-Instruct-hf,21,3.482421875
codellama/CodeLlama-7b-Instruct-hf,22,3.884765625
codellama/CodeLlama-7b-Instruct-hf,23,4.28125
codellama/CodeLlama-7b-Instruct-hf,24,4.6640625
codellama/CodeLlama-7b-Instruct-hf,25,5.0546875
codellama/CodeLlama-7b-Instruct-hf,26,5.55859375
codellama/CodeLlama-7b-Instruct-hf,27,6.05859375
codellama/CodeLlama-7b-Instruct-hf,28,6.6484375
codellama/CodeLlama-7b-Instruct-hf,29,7.42578125
codellama/CodeLlama-7b-Instruct-hf,30,8.4921875
codellama/CodeLlama-7b-Instruct-hf,31,3.1328125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,0.409423828125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,0.4833984375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.7607421875
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.947265625
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,1.1484375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,1.46875
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,1.5439453125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,1.9658203125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,2.42578125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,2.43359375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,2.3984375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,2.611328125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,2.751953125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,2.9140625
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,3.23046875
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,3.626953125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,3.974609375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,4.55859375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,5.70703125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,6.6796875
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,7.75390625
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,9.1015625
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,10.8828125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,14.0234375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,15.8515625
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,17.90625
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,20.703125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,2.375
deepseek-ai/deepseek-coder-6.7b-instruct,0,0.268798828125
deepseek-ai/deepseek-coder-6.7b-instruct,1,0.4853515625
deepseek-ai/deepseek-coder-6.7b-instruct,2,0.73583984375
deepseek-ai/deepseek-coder-6.7b-instruct,3,1.0703125
deepseek-ai/deepseek-coder-6.7b-instruct,4,1.345703125
deepseek-ai/deepseek-coder-6.7b-instruct,5,1.72265625
deepseek-ai/deepseek-coder-6.7b-instruct,6,2.544921875
deepseek-ai/deepseek-coder-6.7b-instruct,7,3.20703125
deepseek-ai/deepseek-coder-6.7b-instruct,8,3.826171875
deepseek-ai/deepseek-coder-6.7b-instruct,9,4.37890625
deepseek-ai/deepseek-coder-6.7b-instruct,10,5.42578125
deepseek-ai/deepseek-coder-6.7b-instruct,11,7.21875
deepseek-ai/deepseek-coder-6.7b-instruct,12,9.0625
deepseek-ai/deepseek-coder-6.7b-instruct,13,12.7578125
deepseek-ai/deepseek-coder-6.7b-instruct,14,14.015625
deepseek-ai/deepseek-coder-6.7b-instruct,15,16.6875
deepseek-ai/deepseek-coder-6.7b-instruct,16,20.5625
deepseek-ai/deepseek-coder-6.7b-instruct,17,22.765625
deepseek-ai/deepseek-coder-6.7b-instruct,18,24.21875
deepseek-ai/deepseek-coder-6.7b-instruct,19,26.09375
deepseek-ai/deepseek-coder-6.7b-instruct,20,29.140625
deepseek-ai/deepseek-coder-6.7b-instruct,21,30.921875
deepseek-ai/deepseek-coder-6.7b-instruct,22,32.6875
deepseek-ai/deepseek-coder-6.7b-instruct,23,35.9375
deepseek-ai/deepseek-coder-6.7b-instruct,24,37.09375
deepseek-ai/deepseek-coder-6.7b-instruct,25,40.40625
deepseek-ai/deepseek-coder-6.7b-instruct,26,43.78125
deepseek-ai/deepseek-coder-6.7b-instruct,27,47.03125
deepseek-ai/deepseek-coder-6.7b-instruct,28,50.84375
deepseek-ai/deepseek-coder-6.7b-instruct,29,55.75
deepseek-ai/deepseek-coder-6.7b-instruct,30,61.65625
deepseek-ai/deepseek-coder-6.7b-instruct,31,1.8681640625
