id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
81,Qwen/Qwen2.5-7B-Instruct,18,,-0.30126953125
82,Qwen/Qwen2.5-7B-Instruct,18,,-0.296875
83,Qwen/Qwen2.5-7B-Instruct,18,,-0.304443359375
84,Qwen/Qwen2.5-7B-Instruct,18,,-0.317138671875
85,Qwen/Qwen2.5-7B-Instruct,18,,-0.296630859375
86,Qwen/Qwen2.5-7B-Instruct,18,,-0.306396484375
87,Qwen/Qwen2.5-7B-Instruct,18,,-0.30908203125
88,Qwen/Qwen2.5-7B-Instruct,18,,-0.309814453125
89,Qwen/Qwen2.5-7B-Instruct,18,,-0.30810546875
90,Qwen/Qwen2.5-7B-Instruct,18,,-0.309814453125
91,Qwen/Qwen2.5-7B-Instruct,18,,-0.30859375
92,Qwen/Qwen2.5-7B-Instruct,18,,-0.29443359375
93,Qwen/Qwen2.5-7B-Instruct,18,,-0.301025390625
94,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.353515625
95,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3623046875
96,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.365234375
97,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.37060546875
98,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.364501953125
99,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.40625
100,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.380859375
101,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.360107421875
102,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.36865234375
103,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.35205078125
104,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.349365234375
105,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.37548828125
106,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.35546875
107,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.375732421875
108,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.368408203125
109,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3798828125
110,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.364990234375
111,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.353515625
112,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3798828125
113,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.361572265625
114,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.378173828125
115,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.359619140625
116,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.365966796875
117,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.39697265625
118,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.360107421875
119,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.376953125
120,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.363037109375
121,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.364501953125
122,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3876953125
123,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.36181640625
124,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.388916015625
125,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.35791015625
126,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3603515625
127,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.383056640625
128,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3603515625
129,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.375
130,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.362060546875
131,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.367431640625
132,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.383056640625
133,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.399658203125
134,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.369873046875
135,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.384033203125
136,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.360595703125
137,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.364990234375
138,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3564453125
139,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.375732421875
