id_snippet,modello,layer_analizzato,cosine_similarity_AA_vs_AP,valore_assoluto
16,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.4921875,0.4921875
17,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.525390625,0.525390625
18,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.55859375,0.55859375
19,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.65234375,0.65234375
20,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.489013671875,0.489013671875
22,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.63623046875,0.63623046875
23,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.62744140625,0.62744140625
25,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.63525390625,0.63525390625
26,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.56005859375,0.56005859375
27,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.52294921875,0.52294921875
28,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.4580078125,0.4580078125
29,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5849609375,0.5849609375
30,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.70849609375,0.70849609375
31,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.55078125,0.55078125
33,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5107421875,0.5107421875
34,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5517578125,0.5517578125
35,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.560546875,0.560546875
36,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.6025390625,0.6025390625
37,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.55224609375,0.55224609375
38,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.642578125,0.642578125
40,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.58447265625,0.58447265625
41,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.57763671875,0.57763671875
42,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5849609375,0.5849609375
44,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.52294921875,0.52294921875
46,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5546875,0.5546875
48,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.49755859375,0.49755859375
49,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.515625,0.515625
50,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.466796875,0.466796875
52,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.59033203125,0.59033203125
53,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5703125,0.5703125
54,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.410400390625,0.410400390625
55,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.615234375,0.615234375
57,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.50927734375,0.50927734375
59,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5439453125,0.5439453125
60,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.572265625,0.572265625
62,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.44970703125,0.44970703125
64,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.54931640625,0.54931640625
65,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.66162109375,0.66162109375
66,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.56494140625,0.56494140625
68,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.51513671875,0.51513671875
69,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.6259765625,0.6259765625
72,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.60400390625,0.60400390625
