id_snippet,modello,layer_analizzato,cosine_similarity_AA_vs_PJ,valore_assoluto
70,Qwen/Qwen2.5-7B-Instruct,16,0.244140625,0.244140625
71,Qwen/Qwen2.5-7B-Instruct,16,0.223388671875,0.223388671875
72,Qwen/Qwen2.5-7B-Instruct,16,0.338134765625,0.338134765625
73,Qwen/Qwen2.5-7B-Instruct,16,0.1805419921875,0.1805419921875
74,Qwen/Qwen2.5-7B-Instruct,16,0.278076171875,0.278076171875
75,Qwen/Qwen2.5-7B-Instruct,16,0.228515625,0.228515625
76,Qwen/Qwen2.5-7B-Instruct,16,0.302001953125,0.302001953125
77,Qwen/Qwen2.5-7B-Instruct,16,0.257568359375,0.257568359375
78,Qwen/Qwen2.5-7B-Instruct,16,0.408447265625,0.408447265625
79,Qwen/Qwen2.5-7B-Instruct,16,0.296875,0.296875
80,Qwen/Qwen2.5-7B-Instruct,16,0.2244873046875,0.2244873046875
81,Qwen/Qwen2.5-7B-Instruct,16,0.276123046875,0.276123046875
82,Qwen/Qwen2.5-7B-Instruct,16,0.263671875,0.263671875
83,Qwen/Qwen2.5-7B-Instruct,16,0.4013671875,0.4013671875
84,Qwen/Qwen2.5-7B-Instruct,16,0.01538848876953125,0.01538848876953125
85,Qwen/Qwen2.5-7B-Instruct,16,0.2283935546875,0.2283935546875
86,Qwen/Qwen2.5-7B-Instruct,16,0.375,0.375
87,Qwen/Qwen2.5-7B-Instruct,16,0.325439453125,0.325439453125
88,Qwen/Qwen2.5-7B-Instruct,16,0.24755859375,0.24755859375
89,Qwen/Qwen2.5-7B-Instruct,16,0.2322998046875,0.2322998046875
90,Qwen/Qwen2.5-7B-Instruct,16,0.368408203125,0.368408203125
91,Qwen/Qwen2.5-7B-Instruct,16,0.33837890625,0.33837890625
92,Qwen/Qwen2.5-7B-Instruct,16,0.45947265625,0.45947265625
93,Qwen/Qwen2.5-7B-Instruct,16,0.252685546875,0.252685546875
94,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.28857421875,0.28857421875
95,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3369140625,0.3369140625
96,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.344970703125,0.344970703125
97,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.31005859375,0.31005859375
98,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.338134765625,0.338134765625
99,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.326171875,0.326171875
100,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.27685546875,0.27685546875
101,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.314697265625,0.314697265625
102,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.347412109375,0.347412109375
103,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.315673828125,0.315673828125
104,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.420654296875,0.420654296875
105,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.27880859375,0.27880859375
106,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.480712890625,0.480712890625
107,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.44677734375,0.44677734375
108,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2391357421875,0.2391357421875
109,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2939453125,0.2939453125
110,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.275634765625,0.275634765625
111,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.260986328125,0.260986328125
112,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3271484375,0.3271484375
113,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.386962890625,0.386962890625
114,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2841796875,0.2841796875
115,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.279541015625,0.279541015625
116,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3837890625,0.3837890625
117,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.287109375,0.287109375
118,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.272216796875,0.272216796875
119,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.330078125,0.330078125
120,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3115234375,0.3115234375
121,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.30419921875,0.30419921875
122,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.279296875,0.279296875
123,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.315673828125,0.315673828125
124,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.37646484375,0.37646484375
125,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.273193359375,0.273193359375
126,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.301025390625,0.301025390625
127,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.31982421875,0.31982421875
128,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.326904296875,0.326904296875
129,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.34375,0.34375
130,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.398681640625,0.398681640625
131,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3232421875,0.3232421875
132,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.353271484375,0.353271484375
133,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2822265625,0.2822265625
134,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.4033203125,0.4033203125
135,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.389892578125,0.389892578125
136,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.354736328125,0.354736328125
137,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.385009765625,0.385009765625
138,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.367431640625,0.367431640625
139,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2685546875,0.2685546875
140,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.36376953125,0.36376953125
141,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.411865234375,0.411865234375
142,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2978515625,0.2978515625
143,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.297607421875,0.297607421875
144,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.259033203125,0.259033203125
145,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.31201171875,0.31201171875
146,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.326416015625,0.326416015625
147,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.342041015625,0.342041015625
148,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.271728515625,0.271728515625
149,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.356201171875,0.356201171875
150,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.343994140625,0.343994140625
151,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.26318359375,0.26318359375
152,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2880859375,0.2880859375
153,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.28955078125,0.28955078125
154,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.29052734375,0.29052734375
155,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.350830078125,0.350830078125
156,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2066650390625,0.2066650390625
157,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.378662109375,0.378662109375
158,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.269287109375,0.269287109375
159,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.401611328125,0.401611328125
160,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.403564453125,0.403564453125
161,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.37109375,0.37109375
162,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.30419921875,0.30419921875
163,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.390380859375,0.390380859375
164,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.377197265625,0.377197265625
165,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.289794921875,0.289794921875
166,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.24755859375,0.24755859375
167,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.343017578125,0.343017578125
168,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.30615234375,0.30615234375
169,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.283203125,0.283203125
170,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.278076171875,0.278076171875
171,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.355712890625,0.355712890625
172,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.329833984375,0.329833984375
173,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.33154296875,0.33154296875
174,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.293212890625,0.293212890625
175,meta-llama/Llama-3.1-8B-Instruct,18,0.06439208984375,0.06439208984375
176,meta-llama/Llama-3.1-8B-Instruct,18,0.17236328125,0.17236328125
177,meta-llama/Llama-3.1-8B-Instruct,18,0.235595703125,0.235595703125
178,meta-llama/Llama-3.1-8B-Instruct,18,0.249755859375,0.249755859375
179,meta-llama/Llama-3.1-8B-Instruct,18,0.051849365234375,0.051849365234375
180,meta-llama/Llama-3.1-8B-Instruct,18,0.32861328125,0.32861328125
181,meta-llama/Llama-3.1-8B-Instruct,18,0.25439453125,0.25439453125
182,meta-llama/Llama-3.1-8B-Instruct,18,0.2059326171875,0.2059326171875
183,meta-llama/Llama-3.1-8B-Instruct,18,0.456787109375,0.456787109375
184,meta-llama/Llama-3.1-8B-Instruct,18,0.312744140625,0.312744140625
185,meta-llama/Llama-3.1-8B-Instruct,18,0.2408447265625,0.2408447265625
186,meta-llama/Llama-3.1-8B-Instruct,18,0.2359619140625,0.2359619140625
187,meta-llama/Llama-3.1-8B-Instruct,18,0.076904296875,0.076904296875
188,meta-llama/Llama-3.1-8B-Instruct,18,0.264892578125,0.264892578125
189,meta-llama/Llama-3.1-8B-Instruct,18,0.08856201171875,0.08856201171875
190,meta-llama/Llama-3.1-8B-Instruct,18,-0.03875732421875,0.03875732421875
191,meta-llama/Llama-3.1-8B-Instruct,18,0.47021484375,0.47021484375
192,meta-llama/Llama-3.1-8B-Instruct,18,0.325927734375,0.325927734375
193,meta-llama/Llama-3.1-8B-Instruct,18,0.43505859375,0.43505859375
194,meta-llama/Llama-3.1-8B-Instruct,18,0.257568359375,0.257568359375
195,meta-llama/Llama-3.1-8B-Instruct,18,0.2431640625,0.2431640625
196,meta-llama/Llama-3.1-8B-Instruct,18,0.4541015625,0.4541015625
197,meta-llama/Llama-3.1-8B-Instruct,18,0.25048828125,0.25048828125
198,meta-llama/Llama-3.1-8B-Instruct,18,0.04052734375,0.04052734375
199,meta-llama/Llama-3.1-8B-Instruct,18,0.037139892578125,0.037139892578125
200,meta-llama/Llama-3.1-8B-Instruct,18,0.453125,0.453125
201,meta-llama/Llama-3.1-8B-Instruct,18,0.2117919921875,0.2117919921875
202,meta-llama/Llama-3.1-8B-Instruct,18,0.1712646484375,0.1712646484375
203,meta-llama/Llama-3.1-8B-Instruct,18,0.285400390625,0.285400390625
204,meta-llama/Llama-3.1-8B-Instruct,18,0.615234375,0.615234375
205,meta-llama/Llama-3.1-8B-Instruct,18,0.607421875,0.607421875
206,meta-llama/Llama-3.1-8B-Instruct,18,0.0232086181640625,0.0232086181640625
207,meta-llama/Llama-3.1-8B-Instruct,18,-0.1422119140625,0.1422119140625
208,meta-llama/Llama-3.1-8B-Instruct,18,0.232421875,0.232421875
209,meta-llama/Llama-3.1-8B-Instruct,18,0.260498046875,0.260498046875
210,meta-llama/Llama-3.1-8B-Instruct,18,0.29541015625,0.29541015625
211,meta-llama/Llama-3.1-8B-Instruct,18,0.4306640625,0.4306640625
212,meta-llama/Llama-3.1-8B-Instruct,18,0.3193359375,0.3193359375
213,meta-llama/Llama-3.1-8B-Instruct,18,0.1383056640625,0.1383056640625
214,meta-llama/Llama-3.1-8B-Instruct,18,0.182373046875,0.182373046875
215,meta-llama/Llama-3.1-8B-Instruct,18,0.3759765625,0.3759765625
216,meta-llama/Llama-3.1-8B-Instruct,18,0.1900634765625,0.1900634765625
217,meta-llama/Llama-3.1-8B-Instruct,18,0.1787109375,0.1787109375
218,meta-llama/Llama-3.1-8B-Instruct,18,0.44921875,0.44921875
219,meta-llama/Llama-3.1-8B-Instruct,18,0.255859375,0.255859375
220,meta-llama/Llama-3.1-8B-Instruct,18,0.1856689453125,0.1856689453125
221,meta-llama/Llama-3.1-8B-Instruct,18,0.68896484375,0.68896484375
222,meta-llama/Llama-3.1-8B-Instruct,18,0.30859375,0.30859375
223,meta-llama/Llama-3.1-8B-Instruct,18,0.1043701171875,0.1043701171875
224,meta-llama/Llama-3.1-8B-Instruct,18,0.366455078125,0.366455078125
225,meta-llama/Llama-3.1-8B-Instruct,18,0.199951171875,0.199951171875
226,meta-llama/Llama-3.1-8B-Instruct,18,0.206787109375,0.206787109375
227,meta-llama/Llama-3.1-8B-Instruct,18,0.265869140625,0.265869140625
228,meta-llama/Llama-3.1-8B-Instruct,18,0.282958984375,0.282958984375
229,meta-llama/Llama-3.1-8B-Instruct,18,0.55810546875,0.55810546875
230,meta-llama/Llama-3.1-8B-Instruct,18,0.1214599609375,0.1214599609375
231,meta-llama/Llama-3.1-8B-Instruct,18,0.052642822265625,0.052642822265625
232,meta-llama/Llama-3.1-8B-Instruct,18,0.284423828125,0.284423828125
233,meta-llama/Llama-3.1-8B-Instruct,18,0.3046875,0.3046875
234,meta-llama/Llama-3.1-8B-Instruct,18,0.03179931640625,0.03179931640625
235,meta-llama/Llama-3.1-8B-Instruct,18,0.568359375,0.568359375
236,meta-llama/Llama-3.1-8B-Instruct,18,0.2286376953125,0.2286376953125
237,meta-llama/Llama-3.1-8B-Instruct,18,0.428955078125,0.428955078125
238,meta-llama/Llama-3.1-8B-Instruct,18,0.410400390625,0.410400390625
239,meta-llama/Llama-3.1-8B-Instruct,18,0.2734375,0.2734375
240,meta-llama/Llama-3.1-8B-Instruct,18,0.1805419921875,0.1805419921875
241,meta-llama/Llama-3.1-8B-Instruct,18,0.267822265625,0.267822265625
242,meta-llama/Llama-3.1-8B-Instruct,18,0.380126953125,0.380126953125
243,meta-llama/Llama-3.1-8B-Instruct,18,0.488037109375,0.488037109375
244,meta-llama/Llama-3.1-8B-Instruct,18,0.356689453125,0.356689453125
245,meta-llama/Llama-3.1-8B-Instruct,18,0.367919921875,0.367919921875
246,meta-llama/Llama-3.1-8B-Instruct,18,0.273193359375,0.273193359375
247,meta-llama/Llama-3.1-8B-Instruct,18,0.335205078125,0.335205078125
248,meta-llama/Llama-3.1-8B-Instruct,18,0.2388916015625,0.2388916015625
249,meta-llama/Llama-3.1-8B-Instruct,18,0.35400390625,0.35400390625
250,meta-llama/Llama-3.1-8B-Instruct,18,0.46484375,0.46484375
251,meta-llama/Llama-3.1-8B-Instruct,18,-0.196044921875,0.196044921875
252,meta-llama/Llama-3.1-8B-Instruct,18,0.04248046875,0.04248046875
253,meta-llama/Llama-3.1-8B-Instruct,18,0.340576171875,0.340576171875
254,meta-llama/Llama-3.1-8B-Instruct,18,0.45654296875,0.45654296875
255,meta-llama/Llama-3.1-8B-Instruct,18,0.2568359375,0.2568359375
256,meta-llama/Llama-3.1-8B-Instruct,18,0.339111328125,0.339111328125
257,meta-llama/Llama-3.1-8B-Instruct,18,0.3623046875,0.3623046875
258,meta-llama/Llama-3.1-8B-Instruct,18,0.578125,0.578125
259,meta-llama/Llama-3.1-8B-Instruct,18,0.178466796875,0.178466796875
260,meta-llama/Llama-3.1-8B-Instruct,18,0.1859130859375,0.1859130859375
261,meta-llama/Llama-3.1-8B-Instruct,18,0.28662109375,0.28662109375
262,meta-llama/Llama-3.1-8B-Instruct,18,0.0771484375,0.0771484375
263,meta-llama/Llama-3.1-8B-Instruct,18,0.445556640625,0.445556640625
264,meta-llama/Llama-3.1-8B-Instruct,18,0.040435791015625,0.040435791015625
265,meta-llama/Llama-3.1-8B-Instruct,18,0.258056640625,0.258056640625
266,meta-llama/Llama-3.1-8B-Instruct,18,0.099365234375,0.099365234375
267,meta-llama/Llama-3.1-8B-Instruct,18,0.26806640625,0.26806640625
268,meta-llama/Llama-3.1-8B-Instruct,18,0.238525390625,0.238525390625
269,meta-llama/Llama-3.1-8B-Instruct,18,0.4697265625,0.4697265625
