id_snippet,modello,layer_analizzato,cosine_similarity_PJ_vs_AP,valore_assoluto
25,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.3837890625,0.3837890625
26,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.51123046875,0.51123046875
27,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.40234375,0.40234375
28,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.50390625,0.50390625
29,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.33935546875,0.33935546875
31,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.453125,0.453125
34,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5126953125,0.5126953125
38,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.4091796875,0.4091796875
41,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.446044921875,0.446044921875
42,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.37255859375,0.37255859375
44,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.470947265625,0.470947265625
46,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.32177734375,0.32177734375
48,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.65478515625,0.65478515625
49,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.4189453125,0.4189453125
52,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.3642578125,0.3642578125
54,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.470458984375,0.470458984375
57,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.406982421875,0.406982421875
59,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.384033203125,0.384033203125
60,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.44873046875,0.44873046875
62,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.370361328125,0.370361328125
72,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.25732421875,0.25732421875
73,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.293212890625,0.293212890625
76,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.445068359375,0.445068359375
78,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.4833984375,0.4833984375
79,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.393798828125,0.393798828125
80,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.3369140625,0.3369140625
1,codellama/CodeLlama-7b-Instruct-hf,13,0.513671875,0.513671875
2,codellama/CodeLlama-7b-Instruct-hf,13,0.591796875,0.591796875
20,codellama/CodeLlama-7b-Instruct-hf,13,0.54931640625,0.54931640625
21,codellama/CodeLlama-7b-Instruct-hf,13,0.57568359375,0.57568359375
41,codellama/CodeLlama-7b-Instruct-hf,13,0.488037109375,0.488037109375
47,codellama/CodeLlama-7b-Instruct-hf,13,0.59716796875,0.59716796875
50,codellama/CodeLlama-7b-Instruct-hf,13,0.57958984375,0.57958984375
58,codellama/CodeLlama-7b-Instruct-hf,13,0.5908203125,0.5908203125
59,codellama/CodeLlama-7b-Instruct-hf,13,0.60498046875,0.60498046875
66,codellama/CodeLlama-7b-Instruct-hf,13,0.52880859375,0.52880859375
77,codellama/CodeLlama-7b-Instruct-hf,13,0.490234375,0.490234375
80,codellama/CodeLlama-7b-Instruct-hf,13,0.4130859375,0.4130859375
82,codellama/CodeLlama-7b-Instruct-hf,13,0.54345703125,0.54345703125
83,codellama/CodeLlama-7b-Instruct-hf,13,0.4716796875,0.4716796875
85,codellama/CodeLlama-7b-Instruct-hf,13,0.62939453125,0.62939453125
90,codellama/CodeLlama-7b-Instruct-hf,13,0.515625,0.515625
95,codellama/CodeLlama-7b-Instruct-hf,13,0.5390625,0.5390625
96,codellama/CodeLlama-7b-Instruct-hf,13,0.515625,0.515625
105,codellama/CodeLlama-7b-Instruct-hf,13,0.5673828125,0.5673828125
106,codellama/CodeLlama-7b-Instruct-hf,13,0.58056640625,0.58056640625
122,codellama/CodeLlama-7b-Instruct-hf,13,0.456787109375,0.456787109375
136,codellama/CodeLlama-7b-Instruct-hf,13,0.5107421875,0.5107421875
141,codellama/CodeLlama-7b-Instruct-hf,13,0.4931640625,0.4931640625
174,codellama/CodeLlama-7b-Instruct-hf,13,0.576171875,0.576171875
183,codellama/CodeLlama-7b-Instruct-hf,13,0.56005859375,0.56005859375
192,codellama/CodeLlama-7b-Instruct-hf,13,0.471435546875,0.471435546875
0,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.21630859375,0.21630859375
8,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.280029296875,0.280029296875
10,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.31982421875,0.31982421875
12,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.28076171875,0.28076171875
30,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.52978515625,0.52978515625
32,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.188232421875,0.188232421875
35,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.249267578125,0.249267578125
38,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.150146484375,0.150146484375
41,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.250732421875,0.250732421875
51,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.12548828125,0.12548828125
54,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.022918701171875,0.022918701171875
56,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.1884765625,0.1884765625
57,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.37109375,0.37109375
69,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.267333984375,0.267333984375
70,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.317626953125,0.317626953125
74,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.465087890625,0.465087890625
75,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.447509765625,0.447509765625
82,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,-0.027557373046875,0.027557373046875
88,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.1959228515625,0.1959228515625
89,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.179931640625,0.179931640625
96,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.373046875,0.373046875
101,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.0960693359375,0.0960693359375
103,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.2298583984375,0.2298583984375
104,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.1502685546875,0.1502685546875
112,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.11138916015625,0.11138916015625
122,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.256591796875,0.256591796875
125,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.310791015625,0.310791015625
133,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.251708984375,0.251708984375
134,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.30126953125,0.30126953125
140,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.2264404296875,0.2264404296875
144,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.229248046875,0.229248046875
152,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.289306640625,0.289306640625
155,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.3076171875,0.3076171875
156,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.36328125,0.36328125
157,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.307373046875,0.307373046875
167,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.0870361328125,0.0870361328125
169,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.294921875,0.294921875
171,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.35498046875,0.35498046875
179,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.3828125,0.3828125
180,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.37060546875,0.37060546875
182,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.452880859375,0.452880859375
188,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.336669921875,0.336669921875
189,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.2548828125,0.2548828125
192,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.40380859375,0.40380859375
193,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.0731201171875,0.0731201171875
196,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.09698486328125,0.09698486328125
198,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.447021484375,0.447021484375
200,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.492431640625,0.492431640625
201,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.292724609375,0.292724609375
209,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.34619140625,0.34619140625
212,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.0648193359375,0.0648193359375
215,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.154541015625,0.154541015625
229,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.384521484375,0.384521484375
230,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.1541748046875,0.1541748046875
232,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.339111328125,0.339111328125
237,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.194091796875,0.194091796875
238,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.306884765625,0.306884765625
239,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.2008056640625,0.2008056640625
240,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.09515380859375,0.09515380859375
242,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.038482666015625,0.038482666015625
246,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.322021484375,0.322021484375
249,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.1939697265625,0.1939697265625
253,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.302734375,0.302734375
258,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.364501953125,0.364501953125
