modello,layer_analizzato,media_cosine_similarity,media_valore_assoluto
meta-llama/Llama-3.1-8B-Instruct,11,0.385498046875,0.385498046875
meta-llama/Llama-3.1-8B-Instruct,12,0.35400390625,0.35400390625
meta-llama/Llama-3.1-8B-Instruct,13,0.385498046875,0.385498046875
meta-llama/Llama-3.1-8B-Instruct,14,0.3701171875,0.3701171875
meta-llama/Llama-3.1-8B-Instruct,15,0.38671875,0.38671875
meta-llama/Llama-3.1-8B-Instruct,16,0.403564453125,0.403564453125
meta-llama/Llama-3.1-8B-Instruct,17,0.43310546875,0.43310546875
meta-llama/Llama-3.1-8B-Instruct,18,0.515625,0.515625
meta-llama/Llama-3.1-8B-Instruct,19,0.5966796875,0.5966796875
meta-llama/Llama-3.1-8B-Instruct,20,0.62451171875,0.62451171875
meta-llama/Llama-3.1-8B-Instruct,21,0.642578125,0.642578125
meta-llama/Llama-3.1-8B-Instruct,22,0.6689453125,0.6689453125
meta-llama/Llama-3.1-8B-Instruct,23,0.6787109375,0.6787109375
meta-llama/Llama-3.1-8B-Instruct,24,0.71923828125,0.71923828125
meta-llama/Llama-3.1-8B-Instruct,25,0.72509765625,0.72509765625
meta-llama/Llama-3.1-8B-Instruct,26,0.70947265625,0.70947265625
meta-llama/Llama-3.1-8B-Instruct,27,0.7138671875,0.7138671875
meta-llama/Llama-3.1-8B-Instruct,28,0.70556640625,0.70556640625
meta-llama/Llama-3.1-8B-Instruct,29,0.708984375,0.708984375
meta-llama/Llama-3.1-8B-Instruct,30,0.67138671875,0.67138671875
meta-llama/Llama-3.1-8B-Instruct,31,0.515625,0.515625
codellama/CodeLlama-7b-Instruct-hf,0,,
codellama/CodeLlama-7b-Instruct-hf,1,0.5234375,0.5234375
codellama/CodeLlama-7b-Instruct-hf,2,0.4984944661458333,0.4984944661458333
codellama/CodeLlama-7b-Instruct-hf,3,0.4582112630208333,0.4582112630208333
codellama/CodeLlama-7b-Instruct-hf,4,0.416748046875,0.416748046875
codellama/CodeLlama-7b-Instruct-hf,5,0.5049641927083334,0.5049641927083334
codellama/CodeLlama-7b-Instruct-hf,6,0.5633544921875,0.5633544921875
codellama/CodeLlama-7b-Instruct-hf,7,0.5070393880208334,0.5070393880208334
codellama/CodeLlama-7b-Instruct-hf,8,0.5276692708333334,0.5276692708333334
codellama/CodeLlama-7b-Instruct-hf,9,0.5499674479166666,0.5499674479166666
codellama/CodeLlama-7b-Instruct-hf,10,0.6029459635416666,0.6029459635416666
codellama/CodeLlama-7b-Instruct-hf,11,0.5484212239583334,0.5484212239583334
codellama/CodeLlama-7b-Instruct-hf,12,0.5552571614583334,0.5552571614583334
codellama/CodeLlama-7b-Instruct-hf,13,0.5338541666666666,0.5338541666666666
codellama/CodeLlama-7b-Instruct-hf,14,0.4380289713541667,0.4380289713541667
codellama/CodeLlama-7b-Instruct-hf,15,0.4392903645833333,0.4392903645833333
codellama/CodeLlama-7b-Instruct-hf,16,0.422607421875,0.422607421875
codellama/CodeLlama-7b-Instruct-hf,17,0.4266764322916667,0.4266764322916667
codellama/CodeLlama-7b-Instruct-hf,18,0.4079182942708333,0.4079182942708333
codellama/CodeLlama-7b-Instruct-hf,19,0.3870442708333333,0.3870442708333333
codellama/CodeLlama-7b-Instruct-hf,20,0.3994547526041667,0.3994547526041667
codellama/CodeLlama-7b-Instruct-hf,21,0.4020182291666667,0.4020182291666667
codellama/CodeLlama-7b-Instruct-hf,22,0.4081217447916667,0.4081217447916667
codellama/CodeLlama-7b-Instruct-hf,23,0.4103190104166667,0.4103190104166667
codellama/CodeLlama-7b-Instruct-hf,24,0.4132080078125,0.4132080078125
codellama/CodeLlama-7b-Instruct-hf,25,0.3945515950520833,0.3945515950520833
codellama/CodeLlama-7b-Instruct-hf,26,0.38238525390625,0.38238525390625
codellama/CodeLlama-7b-Instruct-hf,27,0.35833740234375,0.35833740234375
codellama/CodeLlama-7b-Instruct-hf,28,0.3683675130208333,0.3683675130208333
codellama/CodeLlama-7b-Instruct-hf,29,0.3728841145833333,0.3728841145833333
codellama/CodeLlama-7b-Instruct-hf,30,0.3563232421875,0.3563232421875
codellama/CodeLlama-7b-Instruct-hf,31,0.35125732421875,0.35125732421875
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,0.20699940557065216,0.20699940557065216
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.16025709069293478,0.16025709069293478
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.14501497019892154,0.14509574226711108
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,0.11899268108865489,0.11941893204398778
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,0.13108717876931894,0.13124407892641815
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,0.1929040991741678,0.1929040991741678
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,0.16270314092221466,0.16270314092221466
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,0.1277621725331182,0.12898552936056387
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,0.15732226164444632,0.15732226164444632
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,0.09153772437054178,0.0946263023044752
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,0.06170231363047724,0.07801959825598676
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,0.08526163515837296,0.09156616874363112
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,0.07152777132780655,0.07731151580810547
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,0.11036458222762398,0.11096050428307574
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,0.11358132569686226,0.11411870044210683
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.09946906048318614,0.10315107262652853
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,0.11256176492442256,0.11689791472061821
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,0.10848153155782948,0.11306613424549931
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.07152383223823879,0.08467524984608525
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,0.08464809086011804,0.09470263771388841
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,0.10090757452923318,0.10926541038181471
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,0.0868869449781335,0.09630327639372452
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,0.0628265557081803,0.07321018239726192
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,0.06866624044335407,0.08602893870809804
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,0.05907502381697945,0.07881525288457455
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,0.06745133192642876,0.08494984585305919
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,0.01649357961571735,0.05615544319152832
