modello,layer_analizzato,media_cosine_similarity,media_valore_assoluto
meta-llama/Llama-3.1-8B-Instruct,18,0.203134405703945,0.203134405703945
meta-llama/Llama-3.1-8B-Instruct,19,0.24875459780219858,0.24875459780219858
meta-llama/Llama-3.1-8B-Instruct,20,0.28911701231512404,0.28911701231512404
meta-llama/Llama-3.1-8B-Instruct,21,0.3008905075888597,0.3008905075888597
meta-llama/Llama-3.1-8B-Instruct,22,0.3136580372584685,0.3136580372584685
meta-llama/Llama-3.1-8B-Instruct,23,0.33052144523795324,0.33052144523795324
meta-llama/Llama-3.1-8B-Instruct,24,0.35254500294459684,0.35254500294459684
meta-llama/Llama-3.1-8B-Instruct,25,0.3484930664528417,0.3485545092866621
meta-llama/Llama-3.1-8B-Instruct,26,0.3311126941942987,0.3315350481572042
meta-llama/Llama-3.1-8B-Instruct,27,0.3370354339366651,0.33732966066316794
meta-llama/Llama-3.1-8B-Instruct,28,0.3134638662556656,0.31400433023467317
meta-llama/Llama-3.1-8B-Instruct,29,0.3183536966338412,0.31906346328385915
meta-llama/Llama-3.1-8B-Instruct,30,0.2912680065358868,0.29276814351555047
meta-llama/Llama-3.1-8B-Instruct,31,0.2249332966695305,0.2255085879609785
codellama/CodeLlama-7b-Instruct-hf,0,,
codellama/CodeLlama-7b-Instruct-hf,1,0.17787162742423052,0.18120013289715178
codellama/CodeLlama-7b-Instruct-hf,2,0.0841724632972449,0.10426601932276433
codellama/CodeLlama-7b-Instruct-hf,3,0.055600269955007275,0.09388165198378827
codellama/CodeLlama-7b-Instruct-hf,4,0.06363827139887977,0.07555044715727993
codellama/CodeLlama-7b-Instruct-hf,5,0.09954740503924576,0.1010588787907931
codellama/CodeLlama-7b-Instruct-hf,6,0.048959323808775476,0.07755616831420055
codellama/CodeLlama-7b-Instruct-hf,7,0.05075302435525099,0.07040287501847924
codellama/CodeLlama-7b-Instruct-hf,8,0.08688302495371757,0.09447534599495892
codellama/CodeLlama-7b-Instruct-hf,9,0.11491648036630908,0.11948303721058907
