Modello,Activation Steering,Advanced Adversarial,Adversarial Perturbations,Prompt Injection
Qwen/Qwen2.5-7B-Instruct,97.87,80.22,46.38,23.86
Qwen/Qwen2.5-Coder-7B-Instruct,98.77,21.33,20.63,54.9
codellama/CodeLlama-7b-Instruct-hf,42.27,33.33,73.08,35.68
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18.0,26.09,48.7,41.43
deepseek-ai/deepseek-coder-6.7b-instruct,83.33,60.0,66.67,100.0
meta-llama/Llama-3.1-8B-Instruct,71.18,100.0,0.0,26.72
