MODELLO,LAYER,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP),Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
codellama/CodeLlama-7b-Instruct-hf,22,3.885,11.375,10.195,10.05,24.56,23.92,,18.9,16.88,4.895,24.36,26.47,15.52,11.68,9.07,,,18.92,16.81,23.1,24.12
codellama/CodeLlama-7b-Instruct-hf,23,4.28,12.66,11.29,10.97,27,26.42,,20.8,18.56,5.336,26.83,29.14,17.25,12.984,10.07,,,20.81,18.48,25.22,26.31
codellama/CodeLlama-7b-Instruct-hf,24,4.664,13.94,12.47,11.945,29.73,29.06,,22.95,20.56,5.934,29.44,31.88,18.88,14.055,10.94,,,22.73,20.22,27.45,28.61
codellama/CodeLlama-7b-Instruct-hf,25,5.055,15.69,14.12,13.03,32.9,32.16,,25.56,23.08,6.523,32.03,34.6,20.72,15.38,12.07,,,25.22,22.6,29.8,30.94
codellama/CodeLlama-7b-Instruct-hf,26,5.56,17.39,15.72,14.29,36.56,35.8,,28.02,25.28,7.242,35.47,38.28,23.02,16.83,13.27,,,27.45,24.58,32.9,34.2
codellama/CodeLlama-7b-Instruct-hf,27,6.06,19.6,17.73,15.53,40.34,39.62,,30.83,27.8,7.934,38.78,41.75,25.28,18.8,14.98,,,30.3,27.11,35.9,37.2
codellama/CodeLlama-7b-Instruct-hf,28,6.65,21.94,19.88,17.1,44.5,43.6,,34.72,31.31,8.6,42.44,45.7,27.88,20.84,16.62,,,34.2,30.6,39.25,40.6
codellama/CodeLlama-7b-Instruct-hf,29,7.426,24.4,22.02,18.42,48.72,47.66,,39.2,35.38,9.555,46.72,50.28,30.7,23.53,18.8,,,38.6,34.53,42.9,44.28
codellama/CodeLlama-7b-Instruct-hf,30,8.49,27.45,24.45,20.47,54.6,53.16,,44.03,39.56,10.68,51.97,55.66,33.88,26.75,21.23,,,43.28,38.5,47.8,49.16
codellama/CodeLlama-7b-Instruct-hf,31,3.133,9.9,8.6,6.9,18.53,17.81,,15,13.234,3.543,18.97,20.33,12.58,9.73,7.566,,,14.805,12.93,17.45,17.97
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,0.4094,2.758,2.64,0.2961,1.806,1.827,0.3345,3.977,4.04,0.1863,0.3728,0.3596,0.4268,2.643,2.516,1.873,1.887,4.01,4.074,0.4446,0.0758
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,0.4834,3.148,2.977,0.3667,2.88,2.816,0.3748,4.38,4.406,0.2123,0.436,0.4158,0.4958,3.041,2.861,2.934,2.86,4.414,4.438,0.523,0.0892
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.7607,3.846,3.613,0.6025,7.273,7.195,0.51,6.832,6.88,0.2964,0.696,0.5625,0.683,3.73,3.47,7.277,7.188,6.84,6.887,0.8257,0.1334
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.9473,4.84,4.633,0.797,11.66,11.78,0.6577,9.4,9.56,0.3835,0.8667,0.6685,0.8154,4.645,4.395,11.57,11.69,9.414,9.58,1.024,0.1626
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,1.148,5.848,5.582,0.9663,13.625,13.766,0.775,11.14,11.31,0.441,1.068,0.821,0.996,5.69,5.363,13.53,13.664,11.16,11.33,1.237,0.1941
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,1.469,7.082,6.645,1.145,15.31,15.234,0.8745,13.04,13.164,0.4907,1.329,1.001,1.216,6.906,6.395,15.266,15.17,13.05,13.17,1.584,0.2312
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,1.544,8.15,7.617,1.154,14.9,14.74,0.9478,13.195,13.21,0.5166,1.399,1.117,1.358,8.03,7.434,14.914,14.74,13.234,13.25,1.678,0.2578
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,1.966,10.19,9.734,1.375,16.08,15.74,1.383,15.58,15.63,0.734,1.881,1.44,1.755,10.01,9.5,16.19,15.805,15.62,15.67,2.127,0.332
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,2.426,12.89,12.16,1.7705,18.34,17.78,1.796,18.64,18.6,0.9805,2.318,1.856,2.258,12.81,11.984,18.6,17.95,18.7,18.64,2.629,0.4253
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,2.434,12.69,12.29,2.082,19.39,18.6,2.11,19.16,19.23,1.169,2.348,2.027,2.453,12.27,11.766,20.02,19.14,19.22,19.28,2.656,0.4495
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,2.398,12.01,11.805,1.971,18.58,17.8,2.143,17.78,17.97,1.05,2.205,1.96,2.367,11.7,11.4,19.27,18.4,17.8,17.95,2.627,0.4338
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,2.611,13.375,13.04,2.248,20.34,19.45,2.332,19.36,19.36,1.146,2.555,2.244,2.709,13.01,12.555,21,20.02,19.34,19.31,2.85,0.4954
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,2.752,14.62,14.22,2.562,21.23,20.28,2.57,21.92,21.84,1.281,2.775,2.418,2.91,14.06,13.54,21.95,20.89,21.8,21.7,2.988,0.523
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,2.914,17,16.52,3.45,24.27,23.38,2.908,28.17,28.05,1.775,3.133,2.734,3.268,15.77,15.14,25.17,24.22,27.77,27.62,3.156,0.57
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,3.23,20.11,19.5,4.406,28.11,27.19,3.285,35.1,34.8,2.268,3.719,3.14,3.74,18.33,17.58,29.1,28.1,34.3,34,3.469,0.6406
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,3.627,22.03,21.31,4.883,30.81,30.05,3.64,38.5,38.25,2.531,4.254,3.46,4.125,20.1,19.19,31.78,30.9,37.56,37.28,3.861,0.7065
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,3.975,25.58,24.83,5.69,36.06,35.56,4.12,45.03,44.72,2.906,4.742,4.027,4.8,23.27,22.34,37.12,36.53,43.78,43.47,4.26,0.8247
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,4.56,27.9,26.98,6.414,39.4,38.88,4.652,50.22,49.75,3.254,5.35,4.53,5.4,25.48,24.3,40.47,39.8,48.8,48.3,4.902,0.9272
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,5.707,33.7,32.84,7.168,46.1,45.8,5.77,57,56.47,3.715,6.61,5.207,6.22,31.23,30.1,47.25,46.78,55.6,55,6.03,1.085
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,6.68,37.06,35.97,7.594,49.47,49.1,6.414,60.56,59.72,4.176,7.457,5.688,6.8,34.53,33.06,50.72,50.06,59.06,58.16,7.02,1.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,7.754,43.2,41.66,8.68,58.38,58.06,7.496,70.2,68.9,5.027,8.38,14.49,7.918,40.34,38.44,59.75,59.16,68.3,66.94,3.92,11.03
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,9.1,50.4,48.88,9.94,67.44,66.94,9.03,80.9,79.3,5.977,9.61,16.67,9.23,47.12,45.2,69.1,68.3,78.94,77.25,4.875,12.83
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,10.88,63,61.62,11.85,80.6,80.4,10.84,95.06,93.44,7.4,11.55,19.55,11.164,58.88,57.1,82.25,81.6,92.8,91.06,6.1,15.11
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,14.02,75,73,14.51,100,98.94,13.86,113.25,110.9,8.8,13.51,23.56,12.97,69.8,67.44,102.5,100.8,110.8,108.1,7.656,19.14
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,15.85,86,83.8,16.66,111.75,110.44,16.36,128.1,125.3,9.92,15.33,26.47,14.99,79.4,76.75,114.7,112.6,125.2,122.06,8.836,21.44
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,17.9,95.4,92.75,19.16,125.4,123.75,18.42,142.1,139.1,11.04,16.88,29.12,16.44,87.8,84.7,129,126.44,138.9,135.5,9.664,23.73
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,20.7,109.6,106.9,22.22,145.9,143.5,21.1,157.6,154.4,12.37,19.23,32.7,18.9,100.75,97.4,150.1,146.5,153.9,150.2,11.34,26.8
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,2.375,11.65,11.99,2.463,14.47,14.445,2.125,16.77,16.22,1.443,2.773,4.55,2.713,10.66,10.85,14.78,14.64,16.36,15.805,1.185,2.842
deepseek-ai/deepseek-coder-6.7b-instruct,0,0.2688,0.799,0.63,0.5093,0.769,0.7544,0.7334,0.7983,0.7173,0.469,0.3162,0.0898,0.6245,0.727,0.5796,0.4438,0.4868,0.7827,0.6665,0.4905,0.535
deepseek-ai/deepseek-coder-6.7b-instruct,1,0.4854,1.129,0.8716,0.6416,1.168,1.139,1.072,1.061,0.9272,0.7437,0.5073,0.1735,1.214,1.069,0.816,0.73,0.703,1.167,0.952,1.169,1.041
deepseek-ai/deepseek-coder-6.7b-instruct,2,0.736,1.473,1.144,0.8623,1.694,1.65,1.464,1.523,1.402,1.173,0.6743,0.2695,1.887,1.607,1.213,1.107,0.9624,1.764,1.424,2.03,1.618
deepseek-ai/deepseek-coder-6.7b-instruct,3,1.07,2.168,1.893,1.228,2.719,2.814,2.305,2.197,2.1,1.78,0.9175,0.4177,2.924,2.385,2.049,2.13,1.893,2.59,2.254,3.207,2.506
deepseek-ai/deepseek-coder-6.7b-instruct,4,1.346,2.65,2.35,1.568,3.512,3.64,2.95,2.904,2.81,2.266,1.152,0.5547,3.885,2.934,2.586,2.709,2.357,3.318,2.967,4.203,3.33
deepseek-ai/deepseek-coder-6.7b-instruct,5,1.723,3.438,3.09,1.908,4.496,4.508,3.629,4.37,4.098,2.998,1.458,0.7427,5.2,3.871,3.422,3.645,3.088,4.45,3.889,5.582,4.453
deepseek-ai/deepseek-coder-6.7b-instruct,6,2.545,5.684,5.37,2.973,6.816,6.594,5.152,6.934,6.51,4.695,2.244,1.134,7.934,6.613,6.125,5.71,4.69,7.145,6.33,8.31,6.797
deepseek-ai/deepseek-coder-6.7b-instruct,7,3.207,7.297,6.547,3.576,8.98,8.52,6.67,9.375,8.69,5.84,2.92,1.34,9.375,8.32,7.52,6.918,5.56,9.47,8.4,9.805,8.03
deepseek-ai/deepseek-coder-6.7b-instruct,8,3.826,9.15,7.973,4.297,10.97,10.67,7.99,11.59,10.67,6.57,3.568,1.599,11.19,10.516,9.22,8.2,6.746,11.9,10.64,11.55,9.586
deepseek-ai/deepseek-coder-6.7b-instruct,9,4.38,11.01,9.5,5.375,14.06,13.54,9.3,15.375,14.164,7.695,4.16,1.889,13.23,12.84,11.09,10.42,8.93,15.375,13.89,13.44,11.336
deepseek-ai/deepseek-coder-6.7b-instruct,10,5.426,13.88,11.62,6.94,17.58,16.48,11.27,19.67,17.98,9.016,5.02,2.213,15.484,16.72,14.195,13.445,11.17,19.53,17.64,16.14,13.27
deepseek-ai/deepseek-coder-6.7b-instruct,11,7.22,15.41,12.336,9.17,21.28,19.48,13.44,23.58,20.88,10.57,6.43,2.72,19.03,19.84,15.97,16.64,13.48,22.6,19.75,20.67,16.31
deepseek-ai/deepseek-coder-6.7b-instruct,12,9.06,19.28,15.46,12.3,24.84,22.53,16.31,28.6,25.1,14.21,7.996,3.47,24.3,24.23,19.17,20.16,16.27,27,23.6,26.4,20.83
deepseek-ai/deepseek-coder-6.7b-instruct,13,12.76,24.36,18.97,15.99,30.77,28.17,20.03,33.4,30.3,21.61,11.336,4.484,31.39,31.38,24.6,24.88,19.73,33.72,29.36,34.8,26.9
deepseek-ai/deepseek-coder-6.7b-instruct,14,14.016,25.7,20.69,16.9,32.53,29.52,21.2,35.75,32.4,22.86,12.36,4.957,34.7,33.34,26.1,25.8,20.31,35.62,30.92,38.62,29.73
deepseek-ai/deepseek-coder-6.7b-instruct,15,16.69,29.53,23.5,19.34,37.12,34.5,25.4,40.22,36.94,25.98,14.664,6.055,42.38,37.9,29.27,28.34,22.11,40.06,35.1,46.88,36.34
deepseek-ai/deepseek-coder-6.7b-instruct,16,20.56,35.4,28.83,23.92,45.06,44.25,33.56,46.6,43.9,30.22,18.25,7.44,52.06,45.3,35.88,33.4,26.23,46.25,41.4,57.34,44.66
deepseek-ai/deepseek-coder-6.7b-instruct,17,22.77,39.03,31.98,24.9,48.06,48.38,36.94,52.2,49.56,32.47,12.984,14.11,55.5,49.12,39.16,36.34,28.25,51,46.28,55.88,44.2
deepseek-ai/deepseek-coder-6.7b-instruct,18,24.22,41.3,34.25,26.75,49.78,50.94,38.72,55.5,52.56,34.25,14.21,14.96,60.66,52.03,41.66,38.3,29.95,54.5,49.34,60.8,48.62
deepseek-ai/deepseek-coder-6.7b-instruct,19,26.1,43.66,36.56,29.73,55.56,56.47,42.8,61.44,58.3,37,15.7,15.88,66,55.94,44.38,41.66,32.88,60.03,54.47,66.7,53
deepseek-ai/deepseek-coder-6.7b-instruct,20,29.14,48.03,39.62,32.88,58.75,60.56,46.38,67.5,63.28,39.8,17.67,17.19,71.56,63.97,50.38,45.75,35.34,66.9,59.75,73.56,57.53
deepseek-ai/deepseek-coder-6.7b-instruct,21,30.92,51.75,42.53,37.78,65.3,66.9,50.47,73.1,68.3,43.6,19.02,18.27,80.5,70.94,56.12,50.34,39.44,73.94,65.7,82.9,65.6
deepseek-ai/deepseek-coder-6.7b-instruct,22,32.7,54.66,45.2,42.53,69.06,70.6,52.8,78,73.1,46.3,20.12,19.31,88.25,77.1,61.8,53.56,41.9,80.4,72.06,91.1,72.5
deepseek-ai/deepseek-coder-6.7b-instruct,23,35.94,61.47,51.16,48.8,80,81.56,58.97,87.25,81.7,50.75,22.69,20.75,97.44,87.56,70.8,61.97,49.84,90.6,81.44,101.4,80.25
deepseek-ai/deepseek-coder-6.7b-instruct,24,37.1,63.9,53.34,52.62,83.9,85.2,62.03,92.25,86.8,53.7,23.92,21.42,102.75,91.06,74.3,65.06,52.06,95.5,86.1,106.3,85
deepseek-ai/deepseek-coder-6.7b-instruct,25,40.4,70.1,58.8,58.44,94.2,93.7,67.8,101.25,94.7,58.75,27,23.02,114.06,101.25,83.3,73.75,58.56,105.5,95.06,118.06,94.8
deepseek-ai/deepseek-coder-6.7b-instruct,26,43.78,74.6,62.75,63.88,101.8,100.25,72.3,108.4,102.3,63.38,28.78,25.12,125.56,110.44,90.5,79.25,62.4,114.06,103.06,130.8,104.2
deepseek-ai/deepseek-coder-6.7b-instruct,27,47.03,80.1,67.56,69.25,107.56,105.3,76,115.5,109.6,67.94,31.4,26.62,133.6,117.1,96.06,84.7,66.3,121.9,110.75,139.4,110.94
deepseek-ai/deepseek-coder-6.7b-instruct,28,50.84,85.94,72.94,76.8,115.75,112.44,81.4,123.56,117.06,71.5,34.62,28.89,147.9,127.2,104.44,91.3,71.25,130.9,118.7,153.4,123
deepseek-ai/deepseek-coder-6.7b-instruct,29,55.75,96.8,82.56,83.56,129.5,124.6,90.4,136.4,130.1,78.6,39.38,31.19,163.6,140,116,103.75,81.6,145.2,133,168.9,136.8
deepseek-ai/deepseek-coder-6.7b-instruct,30,61.66,105.44,89.5,89.94,142.5,136,98.1,148.9,141.2,86.2,44.28,33.75,178.5,151.6,125.25,115.9,90.56,160.1,145.2,184.1,149.5
deepseek-ai/deepseek-coder-6.7b-instruct,31,1.868,3.104,2.492,2.436,3.812,3.705,2.625,4.3,3.912,2.596,1.363,0.9272,4.87,4.34,3.482,3.383,2.588,4.895,4.152,5.125,4.08
